content	x	y	w	h	
Continued	1973	490	297	78	
.	2286	494	20	74	
RUDIMENTS	955	478	425	79	
OF	1445	484	81	75	
MUSIC	1589	486	205	76	
,	1821	489	20	74	
13	3165	510	54	58	
SHARPS	614	583	187	46	
AND	828	583	99	46	
FLATS	957	583	142	46	
.	1107	583	13	46	
5	1798	592	11	40	
.	1814	592	11	40	
What	1846	592	105	41	
is	1979	593	21	40	
the	2026	594	57	40	
key	2099	594	63	40	
note	2191	595	78	40	
and	2296	595	63	41	
letter	2383	596	99	40	
of	2507	597	44	40	
five	2574	597	58	40	
flats	2659	597	73	41	
?	2741	598	11	40	
6	1796	633	10	38	
.	1820	633	10	38	
What	1848	634	106	38	
is	1980	635	20	38	
the	2028	635	55	38	
key	2102	636	60	38	
note	2193	637	80	38	
and	2300	637	65	39	
letter	2393	638	93	39	
of	2514	639	41	38	
six	2578	640	39	38	
flats	2656	640	68	39	
?	2732	641	10	38	
The	191	655	57	50	
following	273	655	170	50	
questions	464	655	178	50	
apply	660	655	101	50	
to	786	655	38	50	
the	844	655	58	50	
keys	918	655	84	50	
:	1008	655	14	50	
7	1801	678	10	38	
.	1817	678	10	38	
What	1845	678	111	39	
is	1981	679	21	38	
the	2033	679	55	39	
key	2109	680	59	38	
note	2198	680	79	39	
and	2306	681	64	38	
letter	2396	682	101	38	
of	2523	682	41	39	
seven	2587	683	92	38	
flats	2714	683	73	39	
?	2796	684	10	38	
1	184	709	14	50	
.	200	709	14	50	
No	229	709	63	50	
sharps	311	709	125	50	
nor	459	709	57	50	
flats	550	709	73	50	
,	623	709	14	50	
give	658	709	72	50	
the	757	709	57	50	
key	833	709	65	50	
in	925	709	27	50	
major	977	709	118	50	
and	1127	709	64	50	
minor	1215	709	112	50	
.	1327	709	14	50	
Note	1794	718	89	41	
-	1892	719	11	40	
If	1936	719	29	40	
seven	1991	719	95	41	
notes	2113	720	100	41	
are	2241	721	52	40	
used	2323	721	81	41	
,	2408	722	11	40	
the	2446	722	51	40	
same	2520	723	101	40	
key	2632	723	63	41	
note	2724	724	78	40	
will	2830	725	68	40	
apply	2921	725	102	41	
.	3032	726	11	40	
2	179	761	14	50	
.	200	761	14	50	
One	231	761	71	50	
sharp	332	761	97	50	
,	434	761	14	50	
give	473	761	73	50	
the	578	761	50	50	
key	656	761	64	50	
in	754	761	18	50	
major	805	761	119	50	
and	954	761	64	50	
minor	1046	761	112	50	
.	1159	761	14	50	
LOCATING	2019	761	239	42	
THE	2308	763	90	40	
KEYS	2435	764	122	40	
-	2571	765	11	40	
MAJOR	2601	765	166	41	
KEYS	2804	766	124	41	
.	2936	767	11	40	
3	182	813	14	50	
.	198	813	14	50	
Two	236	813	78	50	
sharps	328	813	127	50	
,	453	813	14	50	
give	481	813	74	50	
the	576	813	57	50	
key	644	813	64	50	
in	736	813	19	50	
major	776	813	120	50	
and	916	813	64	50	
minor	997	813	113	50	
.	1116	813	14	50	
SHARPS	2377	823	192	46	
.	2570	823	13	46	
4	177	867	14	50	
.	198	867	14	50	
Three	236	867	104	50	
sharps	362	867	123	50	
,	483	867	14	50	
give	513	867	72	50	
the	612	867	57	50	
key	683	867	65	50	
in	777	867	18	50	
major	822	867	120	50	
and	967	867	64	50	
minor	1048	867	113	50	
.	1167	867	14	50	
1	1799	888	12	44	
.	1812	888	12	44	
What	1849	888	104	44	
line	1975	888	64	44	
or	2062	888	40	44	
space	2126	888	95	44	
is	2249	888	24	44	
one	2302	888	63	44	
sharp	2387	888	95	44	
located	2515	888	125	44	
?	2654	888	12	44	
5	171	919	14	50	
.	192	919	14	50	
Four	230	919	91	50	
sharps	341	919	123	50	
,	462	919	14	50	
give	497	919	72	50	
the	591	919	56	50	
key	669	919	58	50	
in	761	919	18	50	
major	806	919	127	50	
and	956	919	64	50	
minor	1036	919	114	50	
.	1156	919	14	50	
2	1799	930	9	35	
.	1817	930	9	35	
What	1846	931	106	35	
line	1974	932	66	35	
or	2061	933	38	35	
space	2127	933	97	36	
is	2251	934	26	35	
two	2304	935	65	35	
sharps	2395	935	120	36	
located	2539	937	124	36	
?	2677	938	9	35	
6	174	968	13	47	
.	193	968	13	47	
Five	228	969	75	47	
sharps	330	969	124	48	
,	452	970	13	47	
give	494	971	68	47	
the	590	971	54	48	
key	670	972	60	47	
in	764	973	27	47	
major	813	973	124	48	
and	965	974	67	48	
minor	1050	975	119	48	
.	1167	976	13	47	
3	1800	973	10	38	
.	1816	973	10	38	
What	1844	973	106	39	
line	1976	974	64	38	
or	2061	974	42	38	
space	2125	975	102	38	
is	2253	975	20	38	
three	2305	975	87	39	
sharps	2422	976	122	38	
located	2568	976	127	39	
?	2709	977	10	38	
4	1795	1018	9	35	
.	1813	1018	9	35	
What	1842	1018	112	36	
line	1979	1019	65	35	
or	2069	1019	38	35	
space	2135	1020	97	35	
is	2262	1020	26	35	
four	2319	1020	76	36	
sharps	2423	1021	119	35	
located	2572	1021	129	36	
?	2713	1022	9	35	
7	184	1025	14	50	
.	199	1025	14	50	
Six	234	1025	49	50	
sharps	312	1025	123	50	
,	433	1025	14	50	
give	467	1025	73	50	
the	567	1025	50	50	
key	640	1025	64	50	
in	736	1025	20	50	
major	783	1025	125	50	
and	931	1025	65	50	
minor	1019	1025	113	50	
.	1132	1025	14	50	
5	1793	1057	10	38	
.	1816	1057	10	38	
What	1844	1057	106	39	
line	1976	1058	65	38	
or	2067	1058	35	38	
space	2129	1059	102	38	
is	2257	1059	20	38	
five	2311	1059	61	39	
sharps	2399	1060	121	38	
located	2545	1060	125	39	
?	2682	1061	10	38	
8	174	1077	13	48	
.	193	1077	13	48	
Ševen	231	1077	95	48	
sharps	354	1077	126	48	
,	477	1077	13	48	
give	516	1077	68	48	
the	616	1077	55	48	
key	690	1077	62	48	
in	782	1077	27	48	
major	838	1077	120	48	
and	986	1077	62	48	
minor	1075	1077	107	48	
.	1188	1077	13	48	
6	1791	1098	11	40	
.	1812	1098	11	40	
What	1844	1099	105	40	
line	1977	1099	63	41	
or	2067	1100	38	40	
space	2135	1100	95	41	
is	2258	1101	29	40	
six	2315	1102	40	40	
sharps	2395	1102	116	41	
located	2537	1103	129	41	
?	2677	1104	11	40	
9	175	1122	12	44	
.	193	1122	12	44	
One	225	1122	75	44	
flat	326	1122	58	44	
,	382	1122	12	44	
give	417	1122	68	44	
the	512	1122	56	44	
key	591	1122	63	44	
in	686	1122	16	44	
major	727	1122	129	44	
and	879	1122	63	44	
minor	965	1122	116	44	
.	1080	1122	12	44	
7	1796	1140	12	43	
.	1814	1140	12	43	
What	1843	1141	108	43	
line	1977	1142	69	43	
or	2072	1142	31	44	
space	2138	1143	97	44	
is	2268	1144	23	43	
seven	2323	1145	88	43	
sharps	2451	1146	121	43	
located	2602	1147	124	44	
?	2738	1148	12	43	
10	156	1163	32	45	
.	193	1163	12	45	
Two	232	1163	70	45	
flats	338	1163	69	45	
,	410	1163	12	45	
give	448	1163	71	45	
the	553	1163	51	45	
key	626	1163	63	45	
in	723	1163	25	45	
major	774	1163	124	45	
and	928	1163	64	45	
minor	1015	1163	113	45	
.	1132	1163	12	45	
11	159	1205	30	41	
.	194	1205	11	41	
Three	228	1206	100	41	
flats	365	1206	68	42	
,	438	1207	11	41	
