content	x	y	w	h	
Go	871	594	97	86	
Wash	1009	593	159	85	
in	1225	591	48	86	
the	1331	590	87	86	
Beautiful	1476	589	268	85	
Stream	1793	587	180	85	
.	1989	585	26	86	
C	724	681	17	62	
.	743	681	17	62	
A	781	681	17	62	
.	793	681	17	62	
TINDLEY	836	680	156	61	
.	1001	679	17	62	
C	1776	675	14	51	
.	1797	675	14	51	
A	1828	675	14	51	
.	1854	674	14	51	
TINDLEY	1888	674	155	50	
.	2046	673	14	51	
ANTOTD	587	747	708	53	
CH	1608	785	156	32	
pa	723	774	33	63	
Tomas	658	753	51	239	
There	739	863	99	41	
was	849	862	66	42	
Naaman	926	862	140	41	
the	1086	860	55	42	
leper	1155	860	81	41	
,	1241	859	11	42	
that	1258	859	70	42	
honorable	1335	858	174	41	
man	1516	857	72	42	
,	1598	856	11	42	
A	1632	856	11	42	
captain	1738	855	119	42	
of	1880	854	31	42	
the	1928	854	54	42	
Sy	2012	853	38	42	
-	2058	853	11	42	
rian	2075	853	61	41	
He	782	909	51	34	
heard	862	907	97	34	
of	981	906	32	35	
a	1026	906	9	35	
man	1051	906	74	34	
in	1144	905	25	35	
the	1191	905	55	33	
He	1270	903	58	35	
-	1368	902	9	35	
brew	1411	902	78	34	
land	1512	901	72	35	
,	1587	900	9	35	
A	1634	899	9	35	
lit	1737	898	35	35	
-	1778	898	9	35	
tle	1790	898	44	35	
maid	1845	898	84	34	
told	1949	896	59	34	
him	2024	895	50	35	
a	2109	895	9	35	
So	782	943	39	42	
Naaman	829	942	140	41	
went	989	941	96	42	
on	1087	940	39	42	
and	1143	940	60	42	
the	1218	939	59	42	
servant	1287	939	132	41	
had	1427	938	60	41	
gone	1506	937	76	42	
,	1585	937	11	42	
Whom	1599	936	84	42	
E	1714	936	11	42	
-	1735	935	11	42	
li	1753	935	23	42	
-	1778	935	11	42	
sha	1790	935	54	42	
had	1857	934	54	42	
sent	1932	934	71	41	
to	2014	933	30	42	
the	2074	933	54	42	
O	789	989	9	35	
,	810	988	9	35	
sin	896	987	39	35	
-	947	986	9	35	
ner	955	986	57	35	
,	1015	986	9	35	
o	1044	986	9	35	
,	1066	986	9	35	
sin	1092	985	40	35	
-	1149	985	9	35	
ner	1159	985	55	34	
,	1217	983	9	35	
are	1233	983	50	35	
you	1296	983	60	34	
not	1366	982	61	35	
the	1443	982	49	34	
same	1508	981	91	35	
?	1606	979	9	35	
As	1633	979	45	35	
Naaman	1732	978	142	34	
that	1893	977	71	34	
noted	1973	976	90	34	
Sy	2084	975	53	35	
4	684	989	9	35	
.	699	989	9	35	
host	749	1290	76	38	
,	825	1289	11	39	
bout	748	1332	89	37	
,	834	1331	10	38	
door	748	1371	78	41	
,	831	1370	11	42	
rian	755	1411	64	44	
?	831	1410	12	44	
He	893	1292	56	38	
was	952	1291	66	38	
bad	1024	1291	60	37	
-	1095	1290	10	38	
ly	1105	1290	29	38	
af	1171	1290	34	38	
-	1204	1289	10	38	
flict	1226	1289	59	38	
-	1290	1289	10	38	
ed	1304	1289	29	38	
and	1366	1288	60	38	
sick	1449	1288	56	37	
in	1533	1287	20	38	
the	1581	1287	54	37	
land	1650	1286	73	38	
,	1727	1285	10	38	
And	1757	1285	64	38	
a	1859	1284	10	38	
bur	1906	1284	66	38	
-	1972	1284	10	38	
den	1984	1284	55	37	
to	2077	1283	28	38	
I	919	1331	10	38	
'	935	1331	10	38	
ll	952	1330	20	38	
go	1033	1330	36	38	
if	1112	1329	20	38	
I	1181	1329	10	38	
can	1256	1328	49	38	
he	1372	1327	41	38	
said	1445	1327	62	37	
to	1531	1326	27	38	
his	1575	1326	49	37	
friend	1642	1325	100	37	
,	1746	1324	10	38	
For	1785	1324	60	38	
he	1914	1323	41	38	
