x	y	w	h	content
876	602	95	70	Go
1008	600	182	73	Wash
1222	598	68	75	in
1327	597	104	76	the
1473	596	281	77	Beautiful
1792	593	217	80	Stream.
717	692	47	42	C.
771	691	29	43	A
832	691	179	45	TINDLEY.
1769	681	45	45	C.
1823	681	50	46	A.
1882	681	177	45	TINDLEY.
681	904	43	45	2.
683	868	39	35	1.
738	868	103	36	There
847	867	72	37	was
925	866	145	38	Naaman
1081	864	62	40	the
1149	864	97	39	leper,
1252	862	76	41	that
1334	862	179	39	honorable
1519	860	99	40	man,
1625	859	23	41	A
1733	859	133	36	captain
1876	856	44	39	of
1925	856	63	39	the
2008	855	128	41	Sy-rian
779	904	60	40	He
863	904	106	41	heard
976	904	38	40	of
1021	904	25	40	a
1053	904	80	40	man
1140	904	41	40	in
1188	903	67	40	the
1269	902	63	40	He
1364	901	29	40	-
1409	901	89	39	brew
1507	899	108	39	land,
1631	896	29	41	A
1733	893	106	42	lit-tle
1847	896	90	39	maid
1945	897	73	38	told
2026	896	64	40	him
2107	894	14	42	a
681	939	41	41	3.
681	975	22	35	4
779	947	44	38	So
831	947	147	37	Naaman
990	945	89	39	went
1086	944	44	40	on
1142	943	69	40	and
1218	942	57	41	the
1282	942	133	40	servant
1422	940	72	41	had
1500	940	95	40	gone,
1601	939	90	40	Whom
1707	938	138	38	E-li-sha
1851	936	70	39	had
1927	936	78	38	sent
2011	935	41	38	to
2072	935	61	36	the
780	988	52	36	O,
891	989	141	35	sin-ner,
1039	987	43	37	O,
1089	986	134	37	sin-ner,
1230	984	59	38	are
1296	983	66	39	you
1368	982	64	39	not
1439	981	59	40	the
1505	980	90	40	same
1601	979	24	41	?
1634	979	50	40	As
1733	977	146	41	Naaman
1891	976	75	42	that
1973	975	104	42	noted
2083	974	60	43	Sy-
751	1291	77	40	host,
891	1293	58	38	He
955	1292	65	39	was
1026	1291	119	39	bad-ly
1168	1289	185	40	af-flict-ed
1364	1287	70	42	and
1445	1286	73	42	sick
1529	1285	40	43	in
1580	1285	60	42	the
1646	1285	103	41	land,
1755	1284	80	42	And
1859	1283	27	42	a
1905	1283	146	41	bur-den
2075	1282	42	41	to
751	1334	90	35	bout,
914	1329	69	36	I'll
1031	1330	48	43	go
1104	1330	43	42	if
1172	1330	28	42	I
1248	1329	65	42	can
1369	1328	53	42	he
1442	1328	76	41	said
1526	1327	40	41	to
