x	y	w	h	content
749	517	147	62	NO.
909	520	97	58	25.
421	586	140	62	THE
592	587	156	62	LILY
772	588	96	61	OF
904	588	140	62	THE
1067	589	272	61	VALLEY
705	655	105	44	(Key
820	652	48	46	of
878	651	56	46	F.
944	651	114	46	Flat)
409	689	147	44	1-I've
564	690	123	44	found
727	691	29	43	a
767	691	131	45	friend
907	692	43	44	in
965	693	128	45	Jesus,
1102	694	96	46	He's
1208	695	221	49	everything
1442	697	39	48	to
1491	698	70	49	me;
486	733	98	39	He's
593	733	65	41	the
667	733	142	43	fairest
816	734	46	43	of
868	734	63	43	ten
945	735	190	44	thousand
1149	737	40	43	to
1201	737	63	43	my
1278	739	110	42	soul.
409	770	77	44	The
493	771	93	44	Lily
597	772	45	44	of
650	773	70	44	the
731	774	134	44	Vally,
873	776	42	42	in
929	776	75	43	Him
1030	778	113	41	alone
1153	780	24	39	I
1186	780	66	40	see
488	812	71	42	All
567	813	22	41	I
597	813	98	42	need
706	815	43	41	to
760	816	155	42	cleanse
926	817	76	41	and
1010	817	115	42	make
1133	818	63	42	me
1203	817	101	44	fully
1315	817	139	45	whole;
403	853	46	41	In
480	853	139	43	sorrow
650	854	96	43	He's
766	855	67	43	my
856	855	183	46	comfort,
1057	857	154	46	trouble
1235	858	96	46	He's
1338	859	67	46	my
1426	860	95	46	stay;
483	893	60	40	He
553	894	92	41	tells
652	895	63	41	me
725	896	115	41	every
853	897	91	41	care
954	898	49	41	on
1019	898	76	42	Him
1121	898	41	43	to
1176	898	101	44	roll;
403	934	94	40	He's
505	934	68	41	the
583	934	89	42	Lily
682	934	50	43	of
742	934	133	44	Valley
882	935	68	44	the
979	935	138	46	bright
1137	936	79	46	and
1244	937	175	48	morning
502	972	113	44	Star,
481	1014	95	41	He's
585	1015	68	41	the
662	1015	138	42	fairest
808	1016	47	42	of
863	1016	60	43	ten
939	1017	191	45	thousand
1141	1019	42	44	to
1202	1019	65	45	my
1280	1020	97	46	soul.
735	1054	26	41	-
777	1055	197	41	CHORUS
400	1094	44	42	In
457	1094	138	42	sorrow
614	1095	97	42	He's
720	1096	64	42	my
796	1096	178	44	comfort,
983	1098	42	42	in
1040	1098	150	45	trouble
1202	1100	91	45	He's
1303	1100	66	47	my
1379	1101	95	48	stay,
478	1136	59	39	He
547	1137	91	39	tells
646	1138	61	38	me
714	1139	114	39	every
841	1139	91	40	care
948	1140	50	39	on
1014	1140	73	40	Him
1113	1139	40	42	to
1166	1139	101	43	roll;
397	1173	97	42	He's
501	1174	65	42	the
573	1175	89	42	Lily
687	1176	47	42	of
741	1176	68	43	the
823	1177	148	44	Valley,
978	1179	68	42	the
1053	1179	137	43	bright
1197	1181	78	41	and
1290	1182	129	41	morn-
436	1215	70	44	ing
527	1217	115	43	Star,
396	1263	94	43	He's
498	1264	69	43	the
575	1265	138	44	fairest
721	1266	44	44	of
774	1267	62	44	ten
851	1267	192	45	thousand
1052	1269	41	44	to
1102	1270	65	43	my
1176	1270	101	44	soul.
393	1304	125	44	2-He
525	1305	59	44	all
591	1306	70	44	my
671	1307	100	44	grief
